#{"t_start": 1707242708.6764276, "env_id": null}
r,l,t
261,480,14.944714
366,480,15.084818
-546,480,15.22541
-387,480,15.366001
-582,480,15.50701
-339,480,15.633979
354,480,15.758949
-759,480,15.918744
-894,480,16.136906
330,480,16.368739
444,480,16.572015
-186,480,16.750031
-411,480,16.937522
-570,480,17.109838
-633,480,17.250395
-330,480,17.390988
177,480,17.531578
309,480,17.674554
-660,480,17.862011
-447,480,18.018224
-900,480,18.177522
-696,480,18.380607
48,480,18.583677
-651,480,18.742204
57,480,18.89841
45,480,19.038975
99,480,19.180324
-750,480,19.323366
129,480,19.448364
-69,480,19.588934
-633,480,19.720407
-24,480,19.840549
201,480,19.9655
66,480,20.090447
-858,480,20.21542
93,480,20.343097
-891,480,20.462657
-849,480,20.560183
-45,480,20.685153
-813,480,20.808492
243,480,20.923848
84,480,21.048819
-675,480,21.18941
-831,480,21.319709
-57,480,21.442144
-825,480,21.567113
-663,480,21.707714
-651,480,21.834869
-666,480,21.959316
-153,480,22.084283
-420,480,22.209255
-807,480,22.334224
291,480,22.462013
129,480,22.602583
21,480,22.774415
-597,480,22.948925
-681,480,23.105139
-768,480,23.308217
-786,480,23.51404
-741,480,23.670254
60,480,23.826468
-651,480,23.973295
114,480,24.124936
-54,480,24.249904
-423,480,24.390529
-639,480,24.518255
276,480,24.643227
-300,480,24.768201
-648,480,24.893171
-120,480,25.038111
456,480,25.161477
207,480,25.286423
-561,480,25.411394
135,480,25.544288
-738,480,25.665157
-516,480,25.790157
351,480,25.915097
-654,480,26.05643
-486,480,26.181307
-414,480,26.306278
297,480,26.431249
-291,480,26.55622
-714,480,26.683813
63,480,26.808783
-708,480,26.933779
-513,480,27.058727
-321,480,27.202278
-600,480,27.327248
447,480,27.452188
-819,480,27.577159
-690,480,27.704835
129,480,27.829808
-684,480,27.970399
333,480,28.095373
201,480,28.224812
-267,480,28.379438
-162,480,28.551269
-510,480,28.69183
387,480,28.83408
-123,480,28.974705
-297,480,29.099643
-657,480,29.24107
-579,4-258,480,122.680132
-195,480,128.0369
-153,480,131.890198
-180,480,135.840876
-105,480,139.597314
-159,480,143.366329
-138,480,147.244228
-66,480,151.146445
-57,480,156.644195
-90,480,163.92087
-111,480,170.330615
-147,480,177.210884
-105,480,180.935928
-171,480,184.397244
-165,480,188.665386
-57,480,192.9511
-165,480,197.440445
-138,480,201.961778
-153,480,207.959216
-141,480,212.449086
-117,480,217.981167
-201,480,223.681681
-162,480,228.932706
-165,480,234.339374
-96,480,240.077937
-150,480,245.097816
-99,480,249.741707
-51,480,256.809079
-123,480,262.550358
-87,480,268.022726
-135,480,272.365119
-156,480,279.713473
-168,480,286.380869
-75,480,293.231555
-129,480,299.060969
-153,480,304.793644
-153,480,310.812558
-126,480,321.312717
-72,480,326.408057
-132,480,330.397451
-168,480,334.179339
-93,480,338.75311
-105,480,348.512958
-78,480,356.361828
-156,480,363.427497
-129,480,370.368195
-141,480,377.059242
-90,480,384.673663
-105,480,391.824268
-150,480,400.022412
-156,480,407.977018
-69,480,414.950183
-123,480,422.793823
-138,480,428.074729
-132,480,431.906558
-72,480,435.833061
-132,480,442.758497
-36,480,452.688231
-138,480,461.844377
-138,480,469.202528
-87,480,476.266062
-135,480,483.189418
-111,480,490.374776
-141,480,497.434663
-78,480,507.746833
-93,480,518.43597
-63,480,526.910294
-75,480,534.599799
-72,480,541.395876
-108,480,548.802805
-117,480,556.929744
-105,480,565.552602
-42,480,573.403479
-84,480,583.809188
-66,480,591.512844
-156,480,598.647409
-93,480,606.307728
-135,480,613.74746
-129,480,620.945801
-60,480,627.784662
-18,480,635.24968
-84,480,643.750373
-138,480,651.205757
-69,480,658.230381
-51,480,665.809922
-84,480,672.713004
-39,480,680.236397
-54,480,687.142157
-30,480,694.324958
-87,480,702.900844
-30,480,710.091487
-69,480,717.225215
-132,480,724.161489
-72,480,731.531506
-66,480,738.320512
-108,480,745.533354
-99,480,752.877046
-102,480,761.659432
-96,480,768.622472
-69,480,775.983142
-39,480,942.945547
-69,480,950.505288
-72,480,957.471279
-48,480,965.511008
-108,480,972.603317
-69,480,980.661718
-63,480,988.317654
-90,480,995.231814
-15,480,1004.051863
-108,480,1010.96886
-51,480,1019.306304
-3,480,1026.655985
-27,480,1033.749289
-51,480,1041.824679
-36,480,1049.696084
-60,480,1058.459116
-6,480,1067.73257
-75,480,1075.201851
-78,480,1082.456706
-78,480,1089.790219
-87,480,1096.865121
-51,480,1104.413711
-21,480,1111.558851
-78,480,1119.525071
-105,480,1127.50111
-108,480,1134.84853
-48,480,1141.760409
-54,480,1150.32936
-69,480,1157.413476
-54,480,1164.721119
-12,480,1171.611746
-66,480,1180.047665
-72,480,1187.611995
-9,480,1194.935709
-33,480,1202.08945
-15,480,1209.24492
-21,480,1216.038196
21,480,1223.331778
-90,480,1230.58193
-33,480,1237.861344
-12,480,1246.20387
-81,480,1253.327059
-48,480,1260.741965
-51,480,1267.421784
-51,480,1274.428967
15,480,1281.698503
-6,480,1288.753156
21,480,1295.948728
3,480,1304.775223
3,480,1311.998921
-6,480,1318.809953
-48,480,1327.716647
-45,480,1335.064639
-78,480,1342.185627
9,480,1348.972605
24,480,1355.940199
12,480,1364.313126
-48,480,1371.558664
-18,480,1378.503993
27,480,1385.490757
-9,480,1392.575923
39,480,1400.682181
-18,480,1408.602861
-6,480,1417.099689
-48,480,1426.49564
-87,480,1433.287841
27,480,1440.490504
-45,480,1447.619372
57,480,1454.859875
24,480,1462.266647
-18,480,1468.972672
9,480,1475.927992
3,480,1487.331592
9,480,1491.736669
12,480,1495.437775
-12,480,1499.28848
-21,480,1503.084332
-6,480,1507.002857
6,480,1510.767794
-18,480,1514.566637
-6,480,1518.325586
-54,480,1522.266087
-6,480,1526.055919
-9,480,1529.70217
3,480,1533.50301
54,480,1538.32811
-24,480,1542.50694
30,480,1546.219014
39,480,1550.046781
21,480,1553.765838
84,480,1557.742207
6,480,1561.495175
42,480,1565.231186
12,480,1569.047983
-21,480,1576.21798
-24,480,1583.923721
-9,480,1588.685936
18,480,1594.496404
48,480,1601.850754
81,480,1606.618127
0,480,1708.784941
21,480,1714.203235
27,480,1719.733189
36,480,1725.576186
48,480,1731.971343
63,480,1736.917214
63,480,1741.341221
57,480,1745.986102
30,480,1750.341904
36,480,1754.750768
51,480,1759.428184
54,480,1763.949162
-30,480,1768.208149
24,480,1772.388855
87,480,1777.242345
-3,480,1781.942411
30,480,1786.603358
51,480,1793.168777
81,480,1797.452949
9,480,1802.375732
72,480,1806.286574
39,480,1810.125897
42,480,1815.083889
24,480,1822.532366
84,480,1830.367756
21,480,1837.067066
51,480,1845.424394
126,480,1850.710803
69,480,1854.51258
0,480,1859.230187
48,480,1863.647807
39,480,1868.919343
-3,480,1873.790989
15,480,1877.898925
54,480,1882.500114
-6,480,1886.452287
36,480,1890.495661
9,480,1894.548724
93,480,1899.479704
15,480,1903.409957
63,480,1907.216069
87,480,1911.500933
51,480,1915.445562
36,480,1919.380899
66,480,1923.376605
60,480,1927.696157
42,480,1931.856083
81,480,1935.884305
33,480,1939.931571
60,480,1945.104255
42,480,1948.771994
66,480,1952.524591
108,480,1956.595707
21,480,1961.002237
39,480,1964.925743
108,480,1968.759439
30,480,1973.359433
9,480,1977.444936
81,480,1981.934276
78,480,1986.374719
69,480,1990.162265
96,480,1993.905281
60,480,1998.989799
66,480,2003.416992
75,480,2008.270205
87,480,2012.781265
135,480,2017.939032
111,480,2022.36134
81,480,2026.504261
75,480,2030.46103
108,480,2034.195982
39,480,2038.172877
66,480,2042.398243
60,480,2046.592266
54,480,2050.746905
96,480,2054.590256
84,480,2058.757723
78,480,2062.867764
63,480,2066.95048
69,480,2070.955023
147,480,2074.95345
81,480,2079.635123
63,480,2083.595031
45,480,2087.592735
90,480,2091.791669
36,480,2095.938784
39,480,2100.948996
96,480,2105.440953
123,480,2109.647926
60,480,2113.700327
120,480,2117.909237
99,480,2121.739158
75,480,2126.09952
132,480,2130.146338
84,480,2134.122407
105,480,2138.876176
108,480,2143.036097
111,480,2147.447525
105,480,2151.287276
123,480,2154.771861
147,480,2237.445365
81,480,2241.093023
63,480,2244.688734
105,480,2248.119603
147,480,2251.468307
93,480,2255.300391
66,480,2260.012417
117,480,2263.638469
117,480,2267.641962
99,480,2271.514917
147,480,2275.980547
168,480,2280.240564
93,480,2284.20646
129,480,2289.347296
123,480,2293.451734
87,480,2297.055831
120,480,2300.723485
108,480,2304.731541
129,480,2309.245657
135,480,2313.225127
66,480,2316.791534
135,480,2321.229189
117,480,2324.771866
129,480,2328.472041
126,480,2332.264867
129,480,2335.611837
138,480,2339.156171
153,480,2342.468499
108,480,2345.8218
90,480,2349.558552
111,480,2353.228668
144,480,2357.974689
171,480,2362.87128
123,480,2367.281041
153,480,2370.859735
150,480,2374.240158
141,480,2378.40209
129,480,2381.658223
186,480,2385.243278
111,480,2388.69789
162,480,2392.100141
165,480,2395.634939
198,480,2399.148612
123,480,2402.377074
159,480,2405.789756
129,480,2409.234018
111,480,2412.687851
177,480,2416.012991
150,480,2419.507684
171,480,2422.911958
132,480,2426.401029
120,480,2429.833359
162,480,2433.275837
171,480,2436.921331
165,480,2440.732075
153,480,2444.360994
147,480,2447.523535
183,480,2450.943504
132,480,2454.538515
171,480,2457.725082
168,480,2461.162403
180,480,2464.584138
129,480,2467.800728
129,480,2471.279316
168,480,2474.753818
147,480,2477.994351
105,480,2481.572978
180,480,2485.017627
195,480,2488.328622
189,480,2491.720348
147,480,2495.236647
156,480,2499.362154
153,480,2502.578649
192,480,2506.050383
138,480,2509.484497
201,480,2513.030323
171,480,2516.643162
168,480,2520.178273
189,480,2523.550164
180,480,2527.276758
183,480,2530.879161
150,480,2534.422774
129,480,2537.845948
192,480,2541.253178
216,480,2544.676692
144,480,2548.014852
147,480,2551.6098
180,480,2555.017902
174,480,2559.046914
207,480,2562.394975
177,480,2565.880096
186,480,2569.260047
207,480,2572.61517
165,480,2576.019441
174,480,2579.504298
213,480,2582.909441
207,480,2586.425749
150,480,2589.78415
198,480,2594.054756
150,480,2598.488745
219,480,2686.895012
192,480,2691.534892
213,480,2695.914226
225,480,2699.710138
225,480,2704.606008
147,480,2710.10174
225,480,2714.15918
159,480,2719.077197
174,480,2722.698518
216,480,2726.472138
216,480,2729.881196
210,480,2733.350798
237,480,2737.530983
246,480,2741.34959
171,480,2744.782019
213,480,2748.328942
216,480,2751.939361
201,480,2755.272349
219,480,2758.788328
231,480,2762.395855
183,480,2765.806294
168,480,2769.344214
231,480,2773.078007
279,480,2778.95674
240,480,2782.691594
234,480,2786.178376
144,480,2789.778167
225,480,2793.4696
195,480,2797.452745
177,480,2801.476336
213,480,2804.948373
183,480,2808.647538
222,480,2812.591881
261,480,2816.968111
234,480,2821.647058
240,480,2825.58497
225,480,2829.445379
240,480,2834.061485
255,480,2838.870176
240,480,2843.005122
216,480,2847.290927
255,480,2851.204098
264,480,2855.147021
213,480,2860.160027
222,480,2864.350063
246,480,2868.693584
243,480,2873.686255
204,480,2877.662894
279,480,2881.605989
258,480,2885.490605
246,480,2889.430533
210,480,2893.321831
228,480,2897.579605
243,480,2901.747305
270,480,2906.072821
282,480,2909.835653
270,480,2913.777472
285,480,2917.951696
267,480,2922.136596
237,480,2925.665684
213,480,2930.022302
297,480,2935.74841
225,480,2940.738283
246,480,2944.844372
249,480,2948.766613
270,480,2952.419949
258,480,2956.379504
201,480,2960.132118
261,480,2963.769334
273,480,2968.175971
252,480,2973.381925
243,480,2979.751566
228,480,2985.312649
150,480,2989.567654
189,480,2994.199263
237,480,2998.210311
240,480,3002.396231
297,480,3006.478297
270,480,3010.654491
240,480,3015.034831
264,480,3018.80784
258,480,3022.748907
282,480,3026.983841
231,480,3030.973797
243,480,3035.260474
177,480,3040.15897
258,480,3044.244936
237,480,3048.621995
300,480,3052.614889
309,480,3056.568765
261,480,3061.053774
261,480,3065.007831
273,480,3069.017805
285,480,3072.685583
249,480,3076.411244
309,480,3080.460823
249,480,3084.158903
246,480,3087.828702
285,480,3091.804694
309,480,3096.337599
288,480,3173.33724
243,480,3176.980385
288,480,3180.453372
276,480,3183.986488
285,480,3188.069595
264,480,3191.817583
306,480,3195.4792
261,480,3199.10776
276,480,3202.946117
279,480,3207.343322
267,480,3210.808975
315,480,3214.37242
