#{"t_start": 1689727987.5611734, "env_id": null}
r,l,t
-783,480,4.099538
-819,480,4.284044
-666,480,4.496475
336,480,4.716887
360,480,4.930315
-486,480,5.113825
-360,480,5.423997
-579,480,5.696268
-552,480,5.967543
-84,480,6.177979
384,480,6.418337
-852,480,6.653707
-480,480,6.909024
-90,480,7.131429
111,480,7.358821
-861,480,7.58322
-678,480,7.780692
-138,480,8.034016
-21,480,8.27537
-303,480,8.518718
-777,480,8.764065
-693,480,9.054287
414,480,9.282677
-915,480,9.502089
-381,480,9.723498
267,480,9.939919
-810,480,10.162323
87,480,10.38074
-672,480,10.578211
-459,480,10.910323
129,480,11.20354
285,480,11.423951
384,480,11.606462
-21,480,11.787975
-36,480,11.980461
-807,480,12.182919
-276,480,12.375405
-780,480,12.562904
-6,480,12.73644
-360,480,12.927927
-888,480,13.111438
-909,480,13.282978
0,480,13.470477
-138,480,13.649998
-303,480,13.836498
171,480,14.012028
-141,480,14.16861
321,480,14.373063
120,480,14.563553
-810,480,14.75903
-552,480,14.947526
-291,480,15.102112
-798,480,15.292604
-135,480,15.464144
-624,480,15.616737
-543,480,15.76135
138,480,15.930898
309,480,16.128369
288,480,16.313872
72,480,16.490401
198,480,16.679893
-651,480,16.892326
294,480,17.082816
105,480,17.271312
-501,480,17.44784
-654,480,17.640326
-651,480,17.97144
-591,480,18.234736
-90,480,18.468112
-939,480,18.669574
-606,480,18.857072
267,480,19.038586
-852,480,19.211124
261,480,19.37369
6,480,19.539248
-522,480,19.715775
-18,480,19.880335
15,480,20.048885
-600,480,20.214442
-330,480,20.381993
240,480,20.532591
-408,480,20.711113
-36,480,20.907588
225,480,21.084116
-336,480,21.234713
-522,480,21.412238
-87,480,21.596745
-123,480,21.768286
24,480,21.963764
-105,480,22.124336
-837,480,22.309838
-882,480,22.491353
-39,480,22.665886
276,480,22.856376
198,480,23.0349
-24,480,23.218408
-648,480,23.387955
-429,480,23.560494
-285,480,23.697128
-804-228,480,120.144577
-204,480,124.736299
-159,480,129.823696
-156,480,134.429412
-114,480,138.858565
-159,480,143.460254
-123,480,147.892404
-162,480,152.462152
-129,480,157.036952
-159,480,161.623652
-132,480,166.230368
-138,480,170.906859
-126,480,175.668092
-108,480,180.297715
-183,480,184.957286
-144,480,190.150403
-120,480,194.876753
-99,480,199.645005
-186,480,204.520967
-84,480,209.253277
-189,480,214.031528
-156,480,218.955332
-159,480,223.589974
-111,480,228.303366
-186,480,233.109509
-168,480,237.978459
-111,480,242.867387
-96,480,247.980712
-105,480,253.184833
-126,480,258.175481
-87,480,262.945692
-99,480,268.725236
-126,480,274.52077
-150,480,280.277341
-108,480,285.99206
-162,480,291.71775
-150,480,297.597025
-147,480,302.691437
-111,480,307.977264
-177,480,313.255152
-162,480,318.309666
-183,480,323.276391
-42,480,328.285987
-138,480,333.246721
-132,480,338.219389
-153,480,343.242956
-87,480,348.084042
-120,480,353.104616
-105,480,358.179045
-120,480,363.220561
-93,480,368.744759
-144,480,374.353793
-126,480,379.404287
-168,480,384.463719
-102,480,389.513216
-93,480,394.543797
-129,480,399.625208
-123,480,404.856221
-90,480,409.891719
-90,480,415.009067
-93,480,420.091475
-135,480,425.151943
-126,480,430.82776
-126,480,435.855323
-66,480,440.880879
-99,480,446.035062
-96,480,451.130435
-69,480,456.149014
-117,480,461.230428
-126,480,466.372709
-105,480,471.463104
-147,480,476.557437
-114,480,481.706704
-84,480,487.079299
-87,480,492.498837
-129,480,497.643049
-93,480,502.864086
-57,480,508.0692
-90,480,513.709121
-69,480,519.449735
-18,480,525.660164
-33,480,531.821687
-60,480,536.99584
-54,480,542.059271
-42,480,547.419935
-108,480,553.072846
-63,480,558.14226
-57,480,563.381279
-51,480,568.674093
-54,480,573.802413
-84,480,578.957626
-75,480,584.11484
-93,480,589.341825
-87,480,594.586797
-75,480,599.698161
-78,480,604.824452
-48,480,610.55011
-132,480,615.911768
-51,480,621.039056
-63,480,626.251152
-51,480,738.477996
-60,480,743.809735
-69,480,748.97795
-39,480,754.22292
-33,480,759.477884
-93,480,764.832515
-75,480,769.967783
-30,480,775.26665
-60,480,780.546492
-21,480,785.751573
-57,480,791.557049
-84,480,797.018444
-159,480,802.236516
-63,480,807.622118
-84,480,812.850135
-18,480,818.067186
-30,480,823.259268
-63,480,828.632896
-27,480,833.840969
-24,480,839.207653
-30,480,844.571307
-27,480,850.492476
6,480,855.846124
-54,480,861.144983
-21,480,866.45279
-54,480,871.912158
-102,480,877.354603
-54,480,882.728235
-60,480,888.092919
-57,480,893.558303
-60,480,899.283959
-45,480,904.64163
42,480,910.734371
-75,480,916.232669
-60,480,921.657163
-78,480,927.241226
-123,480,932.935966
-27,480,938.501118
-24,480,943.940567
0,480,949.691193
-57,480,955.253281
-24,480,960.780537
0,480,966.561043
-84,480,972.532108
-51,480,978.143068
-24,480,983.715204
-24,480,989.227459
-9,480,994.751686
-24,480,1000.361649
-6,480,1005.909855
-54,480,1011.525827
-45,480,1017.096924
-75,480,1022.778734
-30,480,1028.828523
-30,480,1034.548265
0,480,1040.212079
15,480,1045.846051
-36,480,1051.57872
0,480,1057.612549
-63,480,1063.940657
-63,480,1069.582535
9,480,1075.38904
27,480,1081.078793
-39,480,1086.930144
-9,480,1093.217329
60,480,1099.066728
0,480,1104.80039
-12,480,1110.485184
-27,480,1116.275703
18,480,1122.224796
3,480,1128.018299
-42,480,1133.868654
-24,480,1139.599326
-54,480,1145.584319
-9,480,1151.984205
3,480,1157.792641
-15,480,1163.659986
-6,480,1169.635005
15,480,1175.582103
-39,480,1181.576082
45,480,1187.463326
3,480,1193.399418
-18,480,1199.354492
-3,480,1205.35548
-36,480,1212.055526
0,480,1218.095412
-42,480,1224.09339
54,480,1230.294788
-48,480,1236.259799
-15,480,1242.266769
9,480,1248.227825
33,480,1254.23074
15,480,1260.400276
3,480,1266.541816
-30,480,1273.049413
30,480,1279.105218
15,480,1285.238814
45,480,1291.305628
60,480,1297.453188
63,480,1303.794227
51,480,1417.748483
42,480,1424.044615
12,480,1430.150326
18,480,1436.293856
45,480,1442.48335
81,480,1449.109583
33,480,1455.397806
0,480,1461.521421
-33,480,1467.853503
-9,480,1474.206516
9,480,1480.351036
36,480,1486.507611
27,480,1492.729963
-18,480,1499.08294
60,480,1505.335258
45,480,1512.077192
-18,480,1518.265674
42,480,1524.398277
48,480,1530.631607
-3,480,1536.737243
24,480,1543.012463
33,480,1549.189977
90,480,1555.501067
-3,480,1561.733431
33,480,1568.371645
39,480,1575.098655
84,480,1581.348943
72,480,1587.60222
33,480,1593.89742
30,480,1600.24042
90,480,1606.597452
60,480,1612.893584
48,480,1619.241638
33,480,1628.273455
93,480,1634.859883
6,480,1641.209895
117,480,1647.572878
21,480,1654.027615
18,480,1660.299806
-12,480,1666.603947
60,480,1672.878167
30,480,1679.249172
54,480,1685.586182
12,480,1692.623397
90,480,1699.071171
48,480,1705.419144
-9,480,1711.787151
48,480,1718.154123
93,480,1724.571967
36,480,1730.943884
54,480,1737.283929
126,480,1743.688832
81,480,1750.509598
78,480,1756.890532
54,480,1763.231539
75,480,1769.566634
51,480,1775.909634
36,480,1782.276608
75,480,1788.652556
39,480,1795.174155
45,480,1801.59299
75,480,1808.388779
99,480,1815.037034
57,480,1821.435923
66,480,1827.833816
75,480,1834.143935
