#{"t_start": 1690250192.6422033, "env_id": null}
r,l,t
-222,480,4.547625
-417,480,4.735081
420,480,4.922538
33,480,5.109993
399,480,5.341155
-354,480,5.544231
-144,480,5.747312
-771,480,5.903522
-240,480,6.075358
417,480,6.247192
348,480,6.419042
-885,480,6.622116
117,480,6.793952
-78,480,6.98141
-918,480,7.184484
375,480,7.361331
-12,480,7.550329
225,480,7.748187
-21,480,7.919661
-705,480,8.130027
354,480,8.327778
-897,480,8.496515
123,480,8.685405
168,480,8.870269
-753,480,9.062595
-885,480,9.235137
-132,480,9.414509
-879,480,9.586336
-189,480,9.742514
-27,480,9.898727
285,480,10.070603
363,480,10.226775
-540,480,10.414268
-336,480,10.586068
417,480,10.742316
-90,480,10.914114
-114,480,11.085949
-756,480,11.242162
387,480,11.416319
-273,480,11.596837
456,480,11.778352
399,480,11.956874
-789,480,12.147403
-771,480,12.308932
207,480,12.501419
-150,480,12.677947
-129,480,12.856469
-816,480,13.03599
-324,480,13.205537
462,480,13.373088
-273,480,13.547621
-552,480,13.719163
24,480,13.904667
-129,480,14.077144
126,480,14.264564
318,480,14.436398
78,480,14.623854
396,480,14.780104
-102,480,14.936281
-885,480,15.092495
-780,480,15.264332
303,480,15.436164
-462,480,15.62362
-132,480,15.826698
-66,480,15.982913
9,480,16.170369
-264,480,16.310997
-465,480,16.482794
-288,480,16.639019
-639,480,16.842084
-429,480,16.9983
-39,480,17.187253
171,480,17.351814
-60,480,17.530337
261,480,17.713847
-870,480,17.876411
-732,480,18.050945
219,480,18.228452
-726,480,18.400286
321,480,18.587742
-324,480,18.743989
324,480,18.915827
-438,480,19.056384
-30,480,19.228218
-951,480,19.368809
-705,480,19.525023
378,480,19.681272
-159,480,19.837452
-696,480,19.993663
18,480,20.165541
-690,480,20.343028
-642,480,20.499205
-666,480,20.67104
-678,480,20.842875
-576,480,20.98347
285,480,21.155304
-573,480,21.327173
-36,480,21.483353
-510,480,21.670-330,480,120.36084
-219,480,124.949698
-225,480,129.565175
-264,480,134.238642
-285,480,138.881616
-204,480,143.598203
-264,480,148.238714
-231,480,153.01321
-276,480,157.895456
-240,480,163.350055
-276,480,168.128922
-243,480,172.774311
-189,480,177.577187
-333,480,182.488792
-210,480,187.30551
-222,480,192.110426
-222,480,197.023095
-255,480,201.966449
-309,480,206.966844
-192,480,211.78023
-207,480,216.716354
-276,480,222.346443
-252,480,227.298841
-258,480,232.25909
-258,480,237.162989
-261,480,242.208459
-144,480,247.135355
-315,480,252.146127
-324,480,257.271906
-255,480,262.25439
-348,480,267.314523
-87,480,272.289158
-135,480,277.360513
-225,480,283.155304
-267,480,288.134022
-231,480,293.324469
-165,480,298.463302
-144,480,303.799741
-321,480,308.861205
-276,480,314.005682
-276,480,319.103894
-234,480,324.270166
-261,480,329.349208
-216,480,334.447928
-234,480,339.95712
-150,480,345.477999
-273,480,350.476827
-291,480,355.823505
-180,480,361.075267
-300,480,366.170482
-276,480,371.294184
-306,480,376.448612
-138,480,381.625246
-117,480,386.860192
-312,480,392.002005
-288,480,397.12811
-153,480,403.027767
-219,480,408.202979
-111,480,413.54405
-108,480,418.876875
-195,480,424.355024
-192,480,429.737498
-207,480,434.932256
-180,480,440.103626
-222,480,445.391229
-114,480,450.722027
-195,480,455.899442
-279,480,461.663038
-111,480,467.028776
-111,480,472.161843
-75,480,477.333381
-168,480,482.717935
