#{"t_start": 1688951272.036476, "env_id": null}
r,l,t
-30,480,19.575601
-564,480,19.698266
-882,480,19.816955
-519,480,19.950568
225,480,20.180953
-48,480,20.367451
-642,480,20.535043
57,480,20.702555
-69,480,20.830247
-261,480,20.952888
-30,480,21.070615
-489,480,21.184301
-531,480,21.296
-492,480,21.406674
-657,480,21.518412
-159,480,21.62908
-402,480,21.746807
-738,480,21.857503
267,480,21.970167
-357,480,22.085882
-270,480,22.203579
-303,480,22.317274
-348,480,22.438914
-744,480,22.555639
-39,480,22.679303
-864,480,22.792967
-666,480,22.901707
-144,480,23.011414
-330,480,23.163975
-36,480,23.378404
93,480,23.55094
-615,480,23.698585
-330,480,23.829234
-87,480,23.956856
-858,480,24.075569
-186,480,24.194252
-579,480,24.307916
-531,480,24.4266
-786,480,24.550306
102,480,24.692925
-315,480,24.839496
-231,480,24.989133
-474,480,25.138695
-663,480,25.293283
204,480,25.436898
-711,480,25.584503
-702,480,25.73211
327,480,25.886728
372,480,26.04431
-234,480,26.252717
-810,480,26.508033
-84,480,26.708498
-411,480,26.873059
-801,480,27.011719
159,480,27.153356
216,480,27.279971
-252,480,27.3987
-789,480,27.511351
-702,480,27.620096
-273,480,27.744758
-696,480,27.865432
-525,480,27.986114
-288,480,28.10181
-771,480,28.229469
-192,480,28.348188
96,480,28.467833
-762,480,28.587512
318,480,28.700212
-24,480,28.809919
-69,480,28.923615
-750,480,29.032324
-696,480,29.149012
-390,480,29.341496
381,480,29.528
-111,480,29.698542
-597,480,29.848142
-231,480,29.982781
-483,480,30.10748
-492,480,30.230157
-120,480,30.341853
-432,480,30.451569
-288,480,30.564229
-300,480,30.682944
174,480,30.796606
165,480,30.918282
78,480,31.030979
-381,480,31.141684
-402,480,31.255414
-573,480,31.366084
-534,480,31.483803
-588,480,31.601455
-687,480,31.717144
-576,480,31.837857
21,480,31.956504
315,480,32.074226
291,480,32.198891
-513,480,32.332499
-51,480,32.546926
-111,480,32.735424
-663,480,32.902976
36,480,33.039645
-543,480,33.16627
--222,480,108.60975
-162,480,112.125351
-207,480,115.767642
-117,480,119.317121
-144,480,123.877927
-129,480,128.090664
-198,480,132.110915
-198,480,136.240873
-153,480,140.374821
-159,480,144.081909
-96,480,147.867784
-144,480,151.865097
-123,480,155.528303
-96,480,159.204473
-96,480,163.267609
-177,480,167.060469
-186,480,170.970016
-165,480,174.81673
-129,480,178.578672
-165,480,183.091606
-96,480,187.400086
-186,480,191.552982
-102,480,195.267052
-81,480,199.27334
-102,480,203.375371
-156,480,207.02661
-117,480,210.623994
-147,480,213.816457
-126,480,217.614302
-111,480,221.069063
-135,480,224.401155
-111,480,227.935706
-105,480,231.311712
-60,480,234.544036
-132,480,237.802323
-117,480,241.186276
-174,480,245.300275
-90,480,248.475785
-138,480,251.579487
-132,480,254.59243
-120,480,257.629311
-150,480,260.626299
-153,480,263.721023
-114,480,266.767876
-57,480,269.796781
-93,480,272.781797
-108,480,275.844608
-111,480,278.894489
-171,480,281.953276
-108,480,284.999134
-93,480,288.133751
-93,480,291.216508
-105,480,294.228454
-75,480,297.516663
-138,480,300.991373
-108,480,304.562857
-120,480,307.908879
-114,480,311.401539
-87,480,314.618969
-120,480,317.74458
-72,480,321.022816
-132,480,324.147493
-66,480,327.331944
-96,480,330.384782
-90,480,333.750782
-129,480,336.862462
-141,480,340.04994
-96,480,343.154668
-24,480,346.268315
-60,480,349.363039
-117,480,352.793865
-135,480,355.852721
-120,480,359.011242
-54,480,362.564742
-108,480,365.944704
-54,480,369.037435
-63,480,372.214941
-93,480,375.424392
-51,480,378.955916
-141,480,382.031693
-18,480,385.146364
-102,480,388.194217
-30,480,391.364772
-111,480,394.571164
-27,480,397.735704
-87,480,400.838441
-69,480,404.41285
-54,480,407.613329
-9,480,410.728963
-63,480,413.904512
-99,480,417.184701
-81,480,420.687337
-111,480,424.389471
-117,480,427.558965
-63,480,431.085536
-57,480,434.253066
-90,480,437.424587
-75,480,440.555249
-27,480,443.761643
-84,480,446.982031
-84,480,514.231929
-51,480,517.419407
-6,480,520.805352
-39,480,524.006792
-69,480,527.126451
-81,480,530.214196
-78,480,533.348815
27,480,536.415616
-105,480,539.55921
-18,480,543.343093
-45,480,546.585423
-132,480,549.712063
-108,480,552.814768
-24,480,556.025663
9,480,561.687525
-87,480,565.670874
-75,480,571.630939
-66,480,577.102346
-63,480,581.017879
-48,480,584.134543
-27,480,587.454666
-45,480,590.63217
-54,480,593.829622
-51,480,596.940305
-3,480,600.097862
12,480,603.996439
-9,480,607.36543
-63,480,610.514012
-33,480,613.636663
-54,480,616.784247
-6,480,619.986685
18,480,623.099361
-6,480,626.283848
-72,480,629.400514
-6,480,632.681741
-63,480,635.806387
21,480,638.970926
-12,480,642.177355
30,480,645.382782
-33,480,648.722365
-30,480,652.686766
-42,480,656.839662
-18,480,660.47195
-12,480,664.787704
-6,480,668.214542
9,480,671.720169
24,480,675.191887
-45,480,678.599774
27,480,682.306865
-9,480,686.513615
15,480,690.009269
-27,480,693.360308
-24,480,697.07338
75,480,700.658796
-15,480,704.303051
-39,480,708.266454
-6,480,711.657387
-30,480,717.831878
-33,480,723.945044
9,480,729.281569
57,480,733.015584
45,480,738.811621
12,480,743.400221
-6,480,749.169764
57,480,752.689354
54,480,756.725562
-42,480,761.912004
39,480,766.087821
21,480,770.656833
-36,480,774.148496
-3,480,777.557381
-15,480,781.655424
24,480,786.056662
45,480,790.388075
-39,480,795.425981
18,480,800.168496
-27,480,803.846661
24,480,807.776155
39,480,811.917084
51,480,815.572309
18,480,819.442963
0,480,824.068593
45,480,828.289308
15,480,832.134029
-9,480,836.384664
15,480,840.097735
24,480,844.891916
57,480,848.8633
21,480,853.088004
60,480,857.148146
-33,480,861.554365
12,480,865.318302
27,480,868.83091
21,480,872.483144
6,480,876.300938
21,480,879.917268
9,480,883.63034
18,480,887.132975
78,480,890.700437
63,480,894.374614
39,480,1001.348814
45,480,1005.698209
12,480,1011.044241
24,480,1017.301713
12,480,1021.697063
60,480,1026.389236
27,480,1030.138185
39,480,1034.771192
15,480,1039.282454
9,480,1043.385321
30,480,1048.136627
33,480,1052.579387
48,480,1056.637665
69,480,1061.192309
33,480,1065.065747
69,480,1069.024723
24,480,1074.029897
69,480,1078.963207
93,480,1083.269562
54,480,1088.95316
66,480,1093.789009
105,480,1098.416759
24,480,1103.67066
72,480,1107.755866
75,480,1111.763179
75,480,1115.544201
66,480,1119.407199
57,480,1124.418827
57,480,1128.474387
63,480,1132.333558
87,480,1136.3751
18,480,1141.308704
57,480,1146.088232
27,480,1150.884081
30,480,1155.49519
78,480,1159.543374
66,480,1163.393151
45,480,1167.283908
45,480,1171.194504
51,480,1175.979723
45,480,1180.989832
57,480,1185.123925
108,480,1189.243589
96,480,1193.478134
66,480,1197.883296
45,480,1203.00863
39,480,1207.584397
123,480,1212.233335
78,480,1216.680452
90,480,1222.028848
69,480,1228.377211
93,480,1232.905187
99,480,1238.200159
78,480,1242.467323
96,480,1246.741761
78,480,1252.355782
57,480,1257.357879
120,480,1261.391907
66,480,1265.542997
78,480,1269.73472
114,480,1273.685757
84,480,1277.449287
75,480,1281.126372
90,480,1284.920731
69,480,1289.313828
108,480,1293.813943
72,480,1298.190236
51,480,1303.937788
141,480,1308.363293
90,480,1312.854522
111,480,1317.099319
39,480,1321.300888
99,480,1326.325058
99,480,1330.357846
87,480,1334.250158
120,480,1338.207714
126,480,1342.104126
84,480,1346.36917
147,480,1350.886221
108,480,1356.275008
117,480,1360.347003
72,480,1365.99051
93,480,1369.783644
120,480,1373.95295
81,480,1378.075308
93,480,1382.48662
147,480,1387.069378
120,480,1392.126612
90,480,1396.340729
87,480,1401.336738
105,480,1405.727006
102,480,1409.427985
153,480,1413.451842
135,480,1418.193024
39,480,1422.334083
