#{"t_start": 1709984204.2594962, "env_id": null}
r,l,t
213,480,5.644218
-99,480,5.825469
-102,480,5.999753
-933,480,6.160856
-714,480,6.33399
-612,480,6.488151
3,480,6.627903
30,480,6.789923
210,480,6.937937
-105,480,7.085914
-825,480,7.285543
-501,480,7.460113
204,480,7.628115
165,480,7.797399
-756,480,7.962464
-453,480,8.114423
-369,480,8.264105
-105,480,8.41975
-6,480,8.565908
114,480,8.716071
-720,480,8.870192
-51,480,9.027657
201,480,9.177117
33,480,9.332917
111,480,9.474758
-240,480,9.61518
-642,480,9.765505
-516,480,9.905751
135,480,10.052481
303,480,10.203257
-870,480,10.341016
-273,480,10.490958
198,480,10.62521
-33,480,10.779906
-147,480,10.951714
-150,480,11.113015
-690,480,11.309707
351,480,11.475402
267,480,11.64893
-711,480,11.816635
438,480,11.985473
375,480,12.164435
-30,480,12.387547
-291,480,12.591314
-267,480,12.783566
78,480,12.962996
-510,480,13.154373
-555,480,13.336663
-456,480,13.50336
-813,480,13.682819
429,480,13.863891
-462,480,14.020084
-591,480,14.168847
-39,480,14.334821
-636,480,14.482166
-510,480,14.625087
-63,480,14.763514
-777,480,14.897655
-786,480,15.029812
-468,480,15.169178
-336,480,15.326024
132,480,15.474047
-774,480,15.625132
-552,480,15.789088
-189,480,15.949096
270,480,16.099386
-153,480,16.257205
252,480,16.420192
-378,480,16.587145
-600,480,16.74702
-750,480,16.911456
-117,480,17.054119
-417,480,17.207769
-801,480,17.390021
-738,480,17.586386
-60,480,17.791092
453,480,17.959704
0,480,18.109333
-681,480,18.267963
282,480,18.418717
-960,480,18.574443
-804,480,18.753528
-960,480,18.905246
-960,480,19.060951
-708,480,19.209738
-171,480,19.366869
177,480,19.519866
-657,480,19.654128
-264,480,19.797208
-108,480,19.95557
237,480,20.098285
-687,480,20.247434
225,480,20.382399
-552,480,20.526613
330,480,20.684358
-369,480,20.862664
-672,480,21.022519
-15,480,21.169648
-666,480,21.-204,480,106.524601
-135,480,111.654779
-132,480,115.901731
-159,480,120.148656
-102,480,124.354736
-135,480,128.503576
-138,480,132.638657
-96,480,136.877503
-168,480,141.121513
-144,480,145.40856
-153,480,149.598551
-129,480,154.440594
-183,480,158.564751
-114,480,162.900546
-150,480,167.441314
-114,480,172.591702
-192,480,176.79957
-117,480,181.024655
-111,480,185.146546
-96,480,189.338766
-132,480,193.387601
-111,480,197.525791
-87,480,201.774528
-129,480,206.965595
-99,480,211.230607
-141,480,215.466784
-102,480,219.720765
-156,480,224.189676
-129,480,228.615536
-84,480,233.29465
-156,480,237.424589
-132,480,241.682554
-66,480,245.912783
-36,480,250.107621
-24,480,254.26573
-126,480,258.336065
-144,480,262.615627
-114,480,266.92656
-147,480,271.098518
-141,480,275.269564
-111,480,279.416656
-144,480,283.572524
-99,480,288.199808
-99,480,293.043628
-138,480,297.209557
-75,480,301.485648
-84,480,305.635632
-135,480,309.81967
-90,480,313.911819
-72,480,318.078675
-93,480,322.234565
-141,480,326.512826
-162,480,330.690547
-66,480,334.924844
-123,480,339.001917
-117,480,343.225695
-114,480,347.949654
-114,480,352.900704
-141,480,357.059606
-186,480,361.253653
-75,480,365.493734
-72,480,369.591903
-108,480,373.719692
-96,480,377.908628
-48,480,382.07677
-123,480,386.280707
-96,480,390.424613
-105,480,394.46279
-102,480,398.623666
-87,480,402.823785
-117,480,407.046608
-87,480,412.088612
-111,480,416.306767
-114,480,420.437576
-99,480,424.495622
-78,480,428.624593
-33,480,432.813704
-84,480,437.095723
-144,480,441.291711
-93,480,445.417721
-168,480,449.535581
-66,480,453.820537
-120,480,457.960589
-75,480,462.173651
-69,480,466.375658
-75,480,471.41753
-81,480,475.56358
-66,480,479.655581
-84,480,483.866679
-48,480,488.019607
-90,480,492.279653
-90,480,496.461695
-81,480,500.580574
-78,480,504.621566
-84,480,508.846576
-57,480,513.025652
-111,480,519.10569
-66,480,523.266623
-93,480,527.626659
-66,480,532.816596
-42,480,629.863646
-105,480,634.018609
-21,480,638.11181
-45,480,642.582566
-18,480,646.56354
-117,480,651.798785
-105,480,655.864596
-63,480,659.982528
-60,480,664.085743
-42,480,668.189795
-66,480,672.195696
-9,480,676.503644
-99,480,680.750538
-33,480,685.088703
-33,480,689.198567
-75,480,693.888699
-57,480,698.31466
-75,480,702.495571
-51,480,706.514584
-105,480,711.410666
-63,480,715.525506
-105,480,719.596533
-39,480,723.678687
3,480,727.78558
-30,480,731.748602
-45,480,735.788665
-81,480,739.910515
-63,480,743.951786
-63,480,747.997718
-63,480,751.935699
-33,480,755.963648
-114,480,760.150489
-45,480,764.230625
-30,480,768.585737
-42,480,773.206513
15,480,777.157685
-57,480,781.256556
-48,480,785.365665
-42,480,789.501516
-63,480,793.625644
-39,480,797.67776
-12,480,801.790547
-39,480,805.992744
6,480,810.079669
-72,480,814.179555
-63,480,818.992617
-21,480,823.156635
9,480,827.47173
-72,480,832.598541
6,480,836.647662
0,480,840.750605
12,480,844.811384
-12,480,848.93086
-21,480,852.878813
9,480,856.953497
0,480,861.024704
-54,480,865.171635
-27,480,869.274582
-36,480,873.338472
-21,480,877.350822
-90,480,881.570706
-42,480,885.672559
-12,480,890.341635
-12,480,894.594667
0,480,898.670645
-42,480,902.665751
30,480,906.709567
-36,480,910.826492
-75,480,914.960645
-3,480,919.048809
-30,480,923.064732
-6,480,927.136649
-48,480,931.222647
24,480,935.398647
3,480,939.4227
-9,480,943.464513
-87,480,947.727569
21,480,952.366661
6,480,956.470657
-24,480,960.574697
6,480,964.670827
0,480,968.707705
12,480,972.750525
18,480,976.857617
-3,480,981.050761
-42,480,985.184814
-18,480,989.293734
6,480,993.277517
-15,480,997.370705
-33,480,1001.539836
24,480,1005.651717
18,480,1010.23754
-45,480,1014.519498
3,480,1018.472668
-30,480,1022.540535
51,480,1026.571749
30,480,1030.67261
21,480,1034.842603
42,480,1038.879653
-39,480,1042.945656
-18,480,1141.333768
-15,480,1145.399629
-12,480,1149.275543
-18,480,1153.326624
15,480,1157.434626
9,480,1161.546802
81,480,1165.616562
51,480,1169.593674
-3,480,1173.63784
-9,480,1177.760719
63,480,1182.038655
-30,480,1186.156598
6,480,1191.130546
-69,480,1195.150574
18,480,1199.134586
12,480,1203.235645
3,480,1207.366635
42,480,1211.46366
27,480,1215.497649
-66,480,1219.544694
27,480,1223.613633
-48,480,1227.77958
51,480,1231.915552
60,480,1235.993617
12,480,1240.093813
15,480,1244.186626
12,480,1248.54484
42,480,1253.130605
