#{"t_start": 1688488047.857777, "env_id": null}
r,l,t
-852,480,3.518326
-597,480,3.62903
-663,480,3.734782
-432,480,3.842458
204,480,3.94718
276,480,4.059878
-627,480,4.171578
255,480,4.280325
129,480,4.403992
306,480,4.543584
-837,480,4.736072
-243,480,4.881717
-6,480,5.00934
357,480,5.152957
-357,480,5.349431
-459,480,5.521971
-747,480,5.716449
-570,480,5.891979
-501,480,6.028613
-246,480,6.162257
75,480,6.283931
177,480,6.396664
-177,480,6.509364
-180,480,6.620033
-60,480,6.734726
-885,480,6.842474
-621,480,6.963116
-273,480,7.150615
357,480,7.287248
183,480,7.409961
-378,480,7.522655
-342,480,7.633323
318,480,7.749013
-72,480,7.861712
-666,480,7.971454
-675,480,8.085116
-438,480,8.194823
387,480,8.304564
-516,480,8.419257
456,480,8.54389
-507,480,8.686511
-837,480,8.818154
408,480,8.958779
-327,480,9.090427
-828,480,9.227094
-288,480,9.36673
291,480,9.508309
21,480,9.643987
-738,480,9.774599
261,480,9.909239
-699,480,10.045874
-393,480,10.184502
57,480,10.339088
-801,480,10.477717
-480,480,10.612395
153,480,10.74301
426,480,10.870667
429,480,10.992341
-636,480,11.114016
426,480,11.234695
246,480,11.355371
228,480,11.473056
285,480,11.592777
-345,480,11.709424
39,480,11.827155
-261,480,11.943797
-603,480,12.058531
-354,480,12.174213
60,480,12.288875
-348,480,12.404565
-558,480,12.516267
231,480,12.634951
39,480,12.748645
-66,480,12.873348
-411,480,12.986011
429,480,13.1027
42,480,13.227393
-543,480,13.347045
-726,480,13.485708
-312,480,13.613366
-150,480,13.743001
-483,480,13.87268
-714,480,13.991364
-261,480,14.115991
-708,480,14.245644
30,480,14.418217
-702,480,14.549831
-336,480,14.703421
-453,480,14.857046
183,480,15.014589
-168,480,15.161197
411,480,15.298827
-684,480,15.451451
366,480,15.57808
180,480,15.699791
108,480,15.880275
222,480,16.044865
-384,480,16.198421
-666,480,16.327078
408,480,16.446757
-9-216,480,80.247889
-207,480,83.840287
-246,480,87.268119
-270,480,90.789703
-219,480,94.527711
-228,480,98.257736
-222,480,101.803258
-222,480,105.099474
-177,480,109.348084
-246,480,112.94048
-231,480,117.423491
-186,480,120.637899
-192,480,123.917132
-213,480,127.076715
-249,480,130.796737
-168,480,134.167724
-162,480,137.408091
-198,480,140.592546
-204,480,143.915661
-138,480,147.01238
-153,480,150.40431
