#{"t_start": 1689909581.940033, "env_id": null}
r,l,t
96,480,3.916332
-687,480,4.064932
234,480,4.246447
453,480,4.418027
36,480,4.606521
-780,480,4.791025
-99,480,4.960575
-870,480,5.150065
-771,480,5.329587
-765,480,5.51705
-363,480,5.684602
-786,480,5.900059
-351,480,6.093507
135,480,6.275023
-744,480,6.436591
-651,480,6.639049
186,480,6.830537
-93,480,6.999123
78,480,7.181637
-903,480,7.348191
138,480,7.51974
-795,480,7.708228
-99,480,7.906666
-276,480,8.096189
-888,480,8.281692
312,480,8.476135
-84,480,8.662674
-516,480,8.839167
-522,480,9.031652
-738,480,9.214197
-255,480,9.402657
-729,480,9.595145
75,480,9.801626
-786,480,10.013028
-522,480,10.187559
-567,480,10.380044
-60,480,10.555575
-69,480,10.752086
-846,480,10.936593
-345,480,11.131038
-123,480,11.304612
309,480,11.488081
-747,480,11.659622
-243,480,11.833159
336,480,12.005742
-294,480,12.173249
-822,480,12.365774
-318,480,12.525347
15,480,12.719832
129,480,12.909281
300,480,13.081856
-411,480,13.256387
-747,480,13.417921
-690,480,13.578531
-948,480,13.752064
-795,480,13.914629
-138,480,14.103125
-270,480,14.278655
321,480,14.476127
-183,480,14.634703
-126,480,14.813189
-438,480,14.950821
-774,480,15.102455
237,480,15.284965
-768,480,15.452481
-549,480,15.643969
-312,480,15.820496
-48,480,15.997022
39,480,16.164615
-282,480,16.361087
393,480,16.528639
282,480,16.718132
108,480,16.909583
-639,480,17.092094
96,480,17.267627
-576,480,17.461142
-732,480,17.649606
-216,480,17.844083
-726,480,18.045545
-270,480,18.222072
354,480,18.395611
-678,480,18.589131
63,480,18.778584
-711,480,18.965131
99,480,19.142612
-321,480,19.32815
-309,480,19.484735
-699,480,19.670199
30,480,19.840791
-693,480,20.026247
285,480,20.217736
-102,480,20.389316
159,480,20.584796
222,480,20.752344
-153,480,20.90693
-510,480,21.100378
-564,480,21.289923
45,480,21.44745
-882,480,21.631002-210,480,120.639334
-267,480,125.46543
-264,480,130.146908
-252,480,134.875299
-246,480,139.605615
-219,480,144.387859
-318,480,149.067347
-240,480,153.754775
-219,480,159.061583
-279,480,164.028303
-285,480,168.794588
-264,480,173.604691
-246,480,178.498603
-351,480,183.400496
