#{"t_start": 1707354656.8347054, "env_id": null}
r,l,t
-576,480,5.250084
207,480,5.484404
-714,480,5.640617
-924,480,5.796831
-516,480,5.937459
291,480,6.093675
-381,480,6.249882
381,480,6.421683
291,480,6.593552
279,480,6.812253
-117,480,6.999677
297,480,7.155886
-132,480,7.343344
-609,480,7.530798
264,480,7.687048
165,480,7.827606
-666,480,7.968197
-387,480,8.10882
-558,480,8.233791
420,480,8.374353
-615,480,8.499323
303,480,8.624292
-381,480,8.750952
-201,480,8.883188
399,480,9.011071
-792,480,9.129057
-396,480,9.262943
36,480,9.394217
36,480,9.534844
258,480,9.675404
-225,480,9.810272
231,480,9.96646
-555,480,10.138288
303,480,10.294502
42,480,10.450749
84,480,10.591339
-417,480,10.747521
-411,480,10.901614
363,480,11.06463
-135,480,11.23147
-360,480,11.445485
-789,480,11.63294
261,480,11.814376
-237,480,11.970594
-810,480,12.142458
-189,480,12.29864
339,480,12.454887
-168,480,12.595476
-492,480,12.736072
-609,480,12.87666
-774,480,13.013142
-72,480,13.200593
264,480,13.38805
210,480,13.528679
459,480,13.638021
315,480,13.751219
-336,480,13.860521
-210,480,13.96987
-801,480,14.07922
-300,480,14.188603
-357,480,14.29792
-51,480,14.407269
291,480,14.500997
-720,480,14.610347
282,480,14.704074
72,480,14.797802
-168,480,14.907184
-429,480,15.000916
-519,480,15.110263
-195,480,15.219615
-870,480,15.328963
-759,480,15.453897
-582,480,15.563281
156,480,15.67263
-573,480,15.781979
99,480,15.875705
249,480,15.985054
-267,480,16.094373
243,480,16.203722
-210,480,16.313073
-831,480,16.438045
192,480,16.578636
-540,480,16.703606
231,480,16.828608
-582,480,16.953578
-162,480,17.062933
-171,480,17.170122
210,480,17.287097
-504,480,17.403973
210,480,17.520755
-762,480,17.637499
-384,480,17.753042
-639,480,17.869878
-705,480,17.970002
-327,480,18.086847
27,480,18.203512
84,480,18.320475
-525,480,18.453852
399,480,18.570492
1-243,480,79.480443
-231,480,83.286195
-186,480,87.022618
-213,480,90.772973
-174,480,94.62894
-174,480,99.26148
-156,480,103.103539
-81,480,106.683211
-141,480,111.249045
-162,480,115.083999
-135,480,118.980793
-144,480,122.636189
-156,480,126.256787
-192,480,129.932636
-141,480,133.832717
-99,480,137.425661
-120,480,141.137335
-126,480,144.780819
-183,480,148.650846
-141,480,152.371087
-168,480,156.007637
-117,480,159.709892
-159,480,163.664589
-132,480,167.126572
-156,480,171.589176
-162,480,175.276639
-174,480,178.949298
-156,480,182.683681
-135,480,186.245962
-90,480,190.108674
-174,480,193.806973
-66,480,198.06576
-144,480,201.791521
-174,480,205.50656
-156,480,209.463949
-123,480,213.103724
-126,480,216.783916
-150,480,220.455266
-129,480,224.363966
-120,480,228.040231
-63,480,232.732615
-87,480,236.414159
-183,480,240.726521
-132,480,244.953415
-120,480,248.616278
-180,480,252.181806
-129,480,256.014874
-81,480,259.755789
-141,480,263.5402
-138,480,267.03754
-153,480,270.838362
-129,480,274.666435
-72,480,278.358942
-63,480,281.869552
-177,480,285.670158
-105,480,290.112412
-159,480,294.147691
-102,480,297.717409
-84,480,301.619375
-66,480,305.321603
-96,480,309.025388
-78,480,312.513857
-114,480,316.230094
-156,480,320.040403
-90,480,323.62018
-105,480,327.254668
-132,480,330.97594
-153,480,334.703917
-99,480,338.629057
-144,480,342.293324
-108,480,346.062859
-126,480,350.129734
-54,480,354.240143
-84,480,357.842446
-78,480,361.749829
-99,480,365.475012
-72,480,369.186899
-87,480,372.808658
-159,480,376.583886
-93,480,380.23928
-99,480,384.00162
-123,480,387.589823
-120,480,391.476045
-84,480,395.217953
-111,480,399.116802
-90,480,402.804249
-87,480,406.657902
-75,480,410.875657
-24,480,414.902893
-162,480,418.470324
-60,480,422.40951
-57,480,426.105783
-114,480,429.843152
-66,480,433.385723
-15,480,437.254923
-96,480,440.869045
-129,480,444.604594
-30,480,448.119395
-81,480,452.019745
-120,480,455.760751
-30,480,529.030072
-48,480,533.367354
-51,480,537.221605
-42,480,541.29668
-81,480,545.112919
-90,480,548.808853
-75,480,552.559224
-123,480,556.390797
-36,480,560.009659
-123,480,563.764837
-60,480,567.592146
-75,480,571.229616
-69,480,574.996693
-27,480,578.613519
-84,480,582.467104
-117,480,586.163323
-39,480,590.36606
-57,480,594.16191
-96,480,597.880726
-57,480,601.705781
-120,480,605.406741
-57,480,609.106125
-75,480,612.848875
-66,480,616.63739
-60,480,620.388132
-75,480,624.00791
-63,480,627.740667
-60,480,631.499694
-75,480,635.199209
-87,480,638.845609
-84,480,642.67448
-39,480,646.423602
-57,480,650.585162
-81,480,654.50995
-45,480,658.125907
-45,480,661.998921
-177,480,665.708023
-75,480,669.355019
-45,480,673.157773
-213,480,676.931913
-57,480,680.631943
-6,480,684.223385
-66,480,687.986531
-72,480,691.659458
-42,480,695.334181
-93,480,699.000224
-66,480,702.841241
-51,480,706.553958
-39,480,711.014178
-60,480,714.744566
-42,480,718.446826
-150,480,722.330078
-45,480,726.004763
-75,480,729.636301
6,480,733.439434
-15,480,737.138245
-75,480,740.796371
-27,480,744.380831
-99,480,748.167868
-45,480,751.838885
-69,480,755.648957
0,480,759.295078
-69,480,763.124592
9,480,766.923968
-87,480,771.21503
-21,480,774.976157
24,480,778.671024
0,480,782.490554
-60,480,786.521049
-15,480,790.149012
-21,480,793.879293
6,480,797.634549
9,480,801.528431
9,480,805.223086
-27,480,809.036752
-54,480,812.697473
39,480,816.473001
-48,480,820.022363
63,480,823.874616
45,480,827.601026
-3,480,832.028667
-75,480,835.60354
12,480,839.46569
-9,480,843.261677
-12,480,847.068196
-72,480,850.603306
6,480,854.472295
-57,480,858.226062
-39,480,862.085111
3,480,865.668063
-39,480,869.385284
9,480,873.145326
-48,480,876.913394
-27,480,880.545199
-57,480,884.285501
-18,480,888.097062
-72,480,892.447328
-21,480,896.163991
-9,480,899.88479
-6,480,903.665149
-45,480,976.122376
-45,480,979.81443
-9,480,983.818248
30,480,987.477139
-21,480,991.191373
48,480,994.896986
18,480,998.680768
12,480,1002.432942
18,480,1006.040163
51,480,1010.181752
-51,480,1014.213201
-12,480,1017.934906
-12,480,1021.585232
-39,480,1025.343412
-24,480,1029.177243
-9,480,1033.613704
-15,480,1037.343162
-66,480,1040.975581
-48,480,1044.805095
42,480,1048.491754
-3,480,1052.10342
-120,480,1055.749547
12,480,1059.627523
45,480,1063.322748
-81,480,1067.301898
27,480,1071.639647
45,480,1075.529447
-27,480,1079.247358
42,480,1082.994404
-24,480,1086.622402
18,480,1090.758532
-9,480,1094.542289
78,480,1098.328038
18,480,1102.086621
27,480,1105.873821
36,480,1109.744186
63,480,1113.543367
12,480,1117.17032
-6,480,1121.038945
-15,480,1124.778313
60,480,1128.613221
-60,480,1133.051167
0,480,1136.588193
9,480,1140.495898
-15,480,1144.203138
0,480,1147.989942
-6,480,1151.720938
30,480,1155.460476
-75,480,1159.143902
39,480,1162.803061
24,480,1166.56532
33,480,1170.322121
84,480,1174.081499
30,480,1177.695619
42,480,1181.532808
-18,480,1185.200037
9,480,1189.112997
33,480,1193.294643
81,480,1196.972561
30,480,1200.661741
-6,480,1204.455687
84,480,1208.094179
33,480,1211.924682
54,480,1215.595701
42,480,1219.354146
57,480,1222.991394
48,480,1226.672241
15,480,1230.481895
42,480,1234.207346
69,480,1237.851165
90,480,1241.607119
60,480,1245.289477
6,480,1249.239411
42,480,1253.439764
75,480,1257.18992
75,480,1260.931829
24,480,1264.733565
72,480,1268.420317
60,480,1272.172262
108,480,1275.858896
21,480,1279.681041
66,480,1283.418331
39,480,1287.124932
57,480,1290.879498
6,480,1294.605522
114,480,1298.472109
63,480,1302.303584
120,480,1306.041921
42,480,1310.289169
18,480,1314.197865
90,480,1317.830092
57,480,1321.558889
63,480,1325.415962
84,480,1329.065277
90,480,1332.915426
84,480,1336.605458
93,480,1340.375049
102,480,1344.130218
132,480,1347.74711
6,480,1351.553156
30,480,1423.179189
99,480,1426.987332
90,480,1431.499546
60,480,1435.620357
114,480,1439.195262
87,480,1443.044406
54,480,1446.864746
102,480,1450.588996
132,480,1454.342891
81,480,1457.943968
99,480,1461.843434
60,480,1465.561315
72,480,1469.237387
87,480,1472.942764
156,480,1476.911579
138,480,1480.746259
6,480,1484.469249
33,480,1488.207896
54,480,1492.68821
93,480,1496.339423
144,480,1500.15454
