#{"t_start": 1689812329.0290785, "env_id": null}
r,l,t
168,480,4.655496
-177,480,4.978633
-933,480,5.358616
-792,480,5.69472
-222,480,5.952029
450,480,6.152492
75,480,6.371905
270,480,6.568382
-339,480,6.785799
171,480,7.013192
-108,480,7.212658
-585,480,7.507869
-738,480,7.827015
-375,480,8.087318
-750,480,8.298753
174,480,8.491241
-621,480,8.676742
-441,480,8.953004
-204,480,9.452668
36,480,9.824673
-837,480,10.078995
-549,480,10.322341
-909,480,10.522806
-285,480,10.730251
138,480,10.949663
-633,480,11.188029
-204,480,11.436364
399,480,11.681706
-315,480,12.110559
372,480,12.410757
-192,480,12.663081
-270,480,12.887482
-774,480,13.086948
-864,480,13.273449
282,480,13.454965
-633,480,13.64346
-774,480,13.853898
-36,480,14.051369
-654,480,14.243857
129,480,14.435342
429,480,14.712602
357,480,15.008809
-348,480,15.216254
-474,480,15.396771
252,480,15.573299
-81,480,15.76379
-186,480,15.947299
147,480,16.148761
-342,480,16.32529
9,480,16.514782
192,480,16.690313
-579,480,16.877811
-750,480,17.079273
-45,480,17.317637
210,480,17.527074
-105,480,17.738509
-438,480,17.945954
-486,480,18.149413
168,480,18.334914
303,480,18.543356
-87,480,18.738834
-390,480,18.942289
-693,480,19.137766
-450,480,19.314296
183,480,19.497806
-681,480,19.692284
282,480,19.879782
-729,480,20.062295
-135,480,20.265751
270,480,20.45624
-66,480,20.683633
-267,480,20.867143
-756,480,21.074587
-567,480,21.359825
-243,480,21.665008
255,480,21.904369
-435,480,22.113808
-234,480,22.295322
-165,480,22.487807
-384,480,22.683285
240,480,22.872778
156,480,23.062272
-123,480,23.259743
435,480,23.447242
228,480,23.606815
-519,480,23.790325
-798,480,23.9868
27,480,24.217183
327,480,24.430613
288,480,24.618111
417,480,24.809599
207,480,24.999093
-573,480,25.181604
-549,480,25.369103
93,480,25.555604
-168,480,25.721161
192,480,25.886719
-765,480,26.052275
-405,480,-219,480,132.14004
-177,480,139.903245
-216,480,144.882931
-153,480,149.81577
-135,480,154.740566
-147,480,159.912738
-162,480,164.807644
-96,480,169.749464
-138,480,174.857769
-171,480,180.294229
-198,480,185.19815
-144,480,190.107984
-192,480,195.088665
-165,480,200.031483
-186,480,205.360196
-162,480,210.268073
-150,480,215.320595
-96,480,220.248384
-135,480,225.301868
-168,480,230.284544
-99,480,235.591351
-141,480,240.968006
-165,480,245.982596
-48,480,250.974217
-174,480,256.164332
-150,480,261.149003
-150,480,266.190551
-159,480,271.18317
-75,480,276.199786
-138,480,281.273186
-117,480,286.204997
-105,480,291.309346
-99,480,296.825596
-159,480,301.970834
-159,480,306.987418
-102,480,312.131693
-111,480,317.292859
-114,480,322.48298
-132,480,328.26053
-57,480,333.530468
-114,480,338.634819
-63,480,343.709249
-129,480,348.730819
-180,480,353.852093
-141,480,359.481071
-96,480,364.632263
-99,480,370.064734
-93,480,375.176101
-114,480,380.341253
-99,480,385.502451
-75,480,390.510097
-93,480,395.61843
-102,480,400.708785
-99,480,405.866989
-63,480,411.017251
-84,480,416.488585
-132,480,421.746559
-126,480,426.957623
-84,480,432.077931
-102,480,437.474463
