#{"t_start": 1709865329.1164627, "env_id": null}
r,l,t
372,480,9.702465
117,480,10.364497
183,480,10.652833
-48,480,10.860072
-684,480,11.061524
-756,480,11.253829
147,480,11.548349
-735,480,11.801608
-609,480,11.987012
-786,480,12.26959
357,480,12.900923
-237,480,13.296533
-474,480,13.518726
-837,480,13.817627
-123,480,14.118471
-21,480,14.310722
267,480,14.483005
90,480,14.674549
21,480,14.887037
-234,480,15.023504
-555,480,15.1702
-657,480,15.315058
-303,480,15.465157
-300,480,15.609978
-420,480,15.823455
405,480,16.000014
141,480,16.169726
-207,480,16.34654
-837,480,16.506773
-663,480,16.658878
-102,480,16.815305
-138,480,17.062597
-798,480,17.228541
-408,480,17.463344
186,480,17.688313
195,480,17.879448
-42,480,18.131614
-867,480,18.331363
36,480,18.494871
-936,480,18.660565
27,480,18.847656
357,480,19.017742
-888,480,19.186035
-153,480,19.349478
348,480,19.533129
-192,480,19.699874
-771,480,19.850065
-501,480,19.991901
258,480,20.134374
-741,480,20.30976
219,480,20.50258
-87,480,20.679877
-537,480,20.86732
321,480,21.014153
0,480,21.142785
-633,480,21.269066
-906,480,21.402637
-909,480,21.524299
156,480,21.640521
-906,480,21.760198
-726,480,21.890936
-708,480,22.010499
-765,480,22.126386
-135,480,22.239035
-519,480,22.359957
-219,480,22.554194
123,480,22.707645
-126,480,22.852804
-540,480,22.982296
-132,480,23.137241
78,480,23.283136
-711,480,23.414659
-519,480,23.564567
-414,480,23.699695
-69,480,23.838242
-909,480,23.984515
-522,480,24.119109
63,480,24.255096
246,480,24.416673
-168,480,24.548486
-330,480,24.680617
3,480,24.808656
234,480,24.924308
-219,480,25.032908
228,480,25.152297
-510,480,25.269079
222,480,25.406595
-144,480,25.543898
-27,480,25.849521
-663,480,26.02445
-312,480,26.193476
-891,480,26.343603
204,480,26.506098
-846,480,26.656615
-660,480,26.819127
-588,480,26.969176
-702,480,27.131384
-96,480,27.-144,480,133.937004
-141,480,141.629737
-96,480,146.857855
-201,480,152.032705
-123,480,157.683652
-126,480,162.751583
-240,480,166.694403
-84,480,170.33973
-144,480,174.504252
-63,480,178.269866
-117,480,182.154954
-159,480,186.103548
-147,480,190.969686
-129,480,195.056624
-120,480,198.773373
-120,480,202.562294
-144,480,207.246166
-156,480,212.659769
-174,480,217.728976
-159,480,223.787151
-135,480,229.5793
-51,480,233.569026
-102,480,237.514702
-108,480,241.927378
-96,480,246.081336
-135,480,252.049072
-153,480,259.153726
-150,480,265.643314
-72,480,270.750987
-144,480,274.660703
-114,480,279.747358
-69,480,287.043549
-141,480,291.405914
-132,480,295.784353
-87,480,300.11746
-123,480,304.018767
-108,480,308.754258
-105,480,313.569327
-156,480,317.680334
-72,480,321.740385
-123,480,325.73481
-114,480,329.826136
-129,480,336.626484
-90,480,341.063717
-99,480,346.280944
-114,480,351.600241
-78,480,355.408786
-69,480,359.313344
-99,480,363.32239
-114,480,367.71016
-102,480,372.091748
-117,480,375.745559
-36,480,379.585942
-66,480,384.021592
-117,480,387.882047
-114,480,391.494653
-51,480,395.01136
-96,480,398.653517
-78,480,402.351621
-195,480,405.592142
-114,480,409.129858
-141,480,412.701605
-168,480,416.326764
-84,480,419.693657
-36,480,423.23208
-63,480,426.839036
-21,480,431.014066
-87,480,434.610355
-27,480,438.170547
-99,480,441.832948
-93,480,445.402248
-51,480,449.02646
-87,480,452.692829
21,480,456.140188
-111,480,459.760954
-75,480,463.269037
-69,480,466.911767
-57,480,470.272455
-33,480,473.899509
-114,480,477.476989
-138,480,480.857849
-42,480,484.398329
-54,480,487.976018
-150,480,492.223865
-111,480,495.756803
-87,480,499.30126
-45,480,502.992503
-117,480,506.562399
-51,480,510.04139
-66,480,513.555442
-48,480,517.265539
-93,480,520.592078
-45,480,524.12004
-54,480,527.704282
-93,480,531.336846
-45,480,534.775252
-45,480,538.378478
-39,480,542.009256
-123,480,545.417039
-81,480,549.180711
-66,480,629.108524
-84,480,632.646211
-66,480,636.191045
-6,480,639.877901
-3,480,643.320287
-51,480,646.722349
-24,480,650.147218
-6,480,653.653126
-42,480,657.052695
-87,480,660.40765
-21,480,664.301872
-51,480,667.739187
-18,480,671.965019
-33,480,675.363671
-123,480,679.395986
-21,480,682.835178
-72,480,686.378227
-27,480,690.032599
-36,480,693.7401
-42,480,697.155036
-45,480,700.652894
-51,480,704.25473
-18,480,707.734498
-69,480,711.144987
-33,480,714.600972
-54,480,718.124268
-15,480,721.589881
-87,480,725.01353
-54,480,728.526372
-45,480,732.65493
-12,480,736.205709
-21,480,739.613003
-45,480,743.12687
-63,480,746.454442
36,480,750.05661
-66,480,753.72945
-51,480,757.172395
6,480,760.586424
-57,480,764.176169
-51,480,767.602349
-24,480,770.970875
-39,480,774.539864
-18,480,778.041028
-69,480,781.383649
-24,480,784.994581
-66,480,788.511649
-45,480,792.986487
15,480,796.308005
-66,480,799.960196
-9,480,803.351708
-48,480,806.968035
-21,480,810.400168
-69,480,813.927694
12,480,817.217503
-3,480,821.297308
15,480,824.947645
3,480,828.488992
-12,480,831.94135
15,480,835.512223
-15,480,838.942086
6,480,842.367339
15,480,845.777583
-42,480,849.695356
18,480,855.496016
12,480,859.192195
12,480,862.513361
-6,480,866.197137
-12,480,870.21574
-15,480,873.813583
3,480,877.187689
-18,480,880.872073
45,480,884.405697
-18,480,888.006823
39,480,891.410138
-45,480,895.040655
33,480,898.682063
42,480,902.7278
33,480,906.518446
-33,480,910.989473
60,480,917.029631
15,480,924.090331
48,480,929.311816
66,480,935.445301
-12,480,949.172154
36,480,957.219479
-15,480,962.313706
-21,480,972.033831
39,480,977.242095
51,480,981.623909
72,480,985.850674
0,480,990.487959
33,480,994.755316
42,480,999.076291
108,480,1002.967019
3,480,1008.343446
105,480,1017.343852
27,480,1022.702906
36,480,1027.741677
33,480,1033.636474
-18,480,1037.832442
48,480,1202.430193
9,480,1207.83114
42,480,1216.182148
21,480,1222.878303
54,480,1227.142425
-18,480,1231.42188
81,480,1235.745809
51,480,1242.223478
36,480,1247.092556
3,480,1251.244101
12,480,1255.582721
48,480,1260.202415
72,480,1264.473036
21,480,1268.95531
24,480,1274.409233
24,480,1279.410438
102,480,1284.391609
54,480,1289.000761
54,480,1293.656191
81,480,1297.973931
57,480,1302.543469
36,480,1308.248301
66,480,1313.456447
57,480,1319.25236
51,480,1324.12303
69,480,1329.510851
15,480,1336.397805
72,480,1340.822258
81,480,1345.541604
30,480,1350.170233
27,480,1354.261382
48,480,1358.263758
0,480,1362.365251
33,480,1367.375253
84,480,1371.462595
87,480,1375.762065
48,480,1380.062169
81,480,1384.561022
78,480,1388.897849
105,480,1394.017553
24,480,1398.765946
24,480,1403.892664
69,480,1408.530373
90,480,1412.873586
129,480,1417.718783
132,480,1422.754271
-15,480,1427.398947
141,480,1431.619171
42,480,1435.394377
96,480,1439.251681
60,480,1443.239897
78,480,1447.246265
129,480,1452.002
84,480,1457.566217
105,480,1461.779319
87,480,1465.781534
69,480,1470.633924
105,480,1477.403925
99,480,1483.381565
117,480,1487.927609
36,480,1491.855955
51,480,1496.006375
114,480,1499.8843
60,480,1503.640643
114,480,1507.66586
63,480,1513.094062
84,480,1518.212544
96,480,1522.183418
81,480,1526.31203
156,480,1530.435504
78,480,1534.764127
84,480,1539.420939
84,480,1544.132919
51,480,1548.539541
135,480,1553.633184
117,480,1557.924152
87,480,1562.791296
138,480,1567.728618
81,480,1572.60293
81,480,1578.199851
102,480,1583.104979
159,480,1587.481416
132,480,1591.450713
135,480,1595.34872
90,480,1600.357345
99,480,1604.388804
99,480,1609.033846
150,480,1612.962101
120,480,1616.69526
156,480,1621.25274
114,480,1625.722556
123,480,1630.681815
138,480,1635.185166
84,480,1639.264058
138,480,1643.459357
144,480,1647.730396
147,480,1652.369411
114,480,1657.108911
105,480,1661.274211
69,480,1665.480274
114,480,1771.805262
144,480,1776.190804
123,480,1780.469715
162,480,1784.529745
78,480,1789.116556
84,480,1793.309654
96,480,1797.392498
129,480,1801.388536
96,480,1806.542595
117,480,1811.33901
162,480,1816.122895
120,480,1820.072361
159,480,1824.127391
126,480,1830.980888
135,480,1837.022128
117,480,1840.978525
132,480,1845.067948
33,480,1848.769967
117,480,1852.95587
120,480,1856.745154
138,480,1860.932368
144,480,1864.759712
198,480,1868.871287
111,480,1873.3392
156,480,1878.492832
111,480,1883.556612
198,480,1888.389948
96,480,1892.921379
144,480,1897.655613
159,480,1902.132885
168,480,1906.928159
171,480,1910.740476
168,480,1914.573246
102,480,1918.679709
177,480,1922.656155
264,480,1926.419358
111,480,1930.895222
180,480,1935.402946
192,480,1939.415069
180,480,1943.308645
186,480,1947.348563
156,480,1951.982901
159,480,1958.021764
138,480,1962.203851
177,480,1967.349451
114,480,1973.11921
183,480,1977.077794
162,480,1981.700521
138,480,1986.16351
192,480,1991.285996
180,480,1995.799533
183,480,1999.533991
204,480,2003.871056
189,480,2007.996203
165,480,2013.310292
186,480,2018.047631
150,480,2022.267812
195,480,2026.342959
162,480,2030.61554
189,480,2034.697582
180,480,2039.60251
186,480,2047.986082
210,480,2054.060837
126,480,2058.487758
147,480,2062.831086
207,480,2067.092649
144,480,2071.018315
144,480,2074.907558
225,480,2078.922888
186,480,2082.89467
198,480,2087.179535
177,480,2090.990252
207,480,2094.946425
186,480,2098.912582
204,480,2103.541913
213,480,2110.73952
183,480,2124.273272
213,480,2133.491846
189,480,2138.296744
153,480,2142.978251
210,480,2147.667312
189,480,2152.702251
195,480,2157.254313
177,480,2166.665013
264,480,2172.472449
147,480,2176.952072
153,480,2181.021194
204,480,2185.992348
225,480,2191.055324
162,480,2202.366273
237,480,2209.081895
186,480,2216.267359
150,480,2224.909606
186,480,2234.254816
207,480,2242.325177
204,480,2248.859162
210,480,2257.081804
174,480,2265.209524
213,480,2273.190894
222,480,2279.44049
222,480,2460.712068
225,480,2469.798086
213,480,2479.692255
216,480,2487.91434
261,480,2492.369333
246,480,2496.473002
189,480,2500.702982
213,480,2504.629939
243,480,2508.563871
207,480,2512.586973
231,480,2516.744001
195,480,2520.965477
231,480,2525.21431
240,480,2529.480432
237,480,2534.298319
237,480,2538.175814
231,480,2542.30343
225,480,2546.335582
243,480,2550.400767
219,480,2554.292654
