#{"t_start": 1709833653.7590542, "env_id": null}
r,l,t
303,480,5.386919
339,480,5.535643
186,480,5.672164
-816,480,5.8027
-840,480,5.933559
6,480,6.072901
-120,480,6.262674
99,480,6.533761
72,480,6.707808
-396,480,6.867214
-864,480,7.025464
372,480,7.191647
0,480,7.3424
-390,480,7.501512
-591,480,7.662825
381,480,7.814202
198,480,7.987975
-339,480,8.146647
-459,480,8.290965
-177,480,8.432942
297,480,8.570384
213,480,8.708324
-894,480,8.85148
435,480,9.022173
-99,480,9.196506
-747,480,9.360282
330,480,9.525381
-567,480,9.689862
192,480,9.866483
-21,480,10.048264
-609,480,10.2178
-765,480,10.377011
-864,480,10.537381
-459,480,10.706618
-444,480,10.864584
327,480,11.039565
-204,480,11.329459
300,480,11.585079
-474,480,11.847471
-120,480,12.053051
408,480,12.298257
429,480,12.486858
-480,480,12.664574
-342,480,12.822785
-177,480,12.969575
-651,480,13.113783
-339,480,13.277871
-801,480,13.420059
-600,480,13.576277
330,480,13.726084
72,480,13.856212
-189,480,13.995934
318,480,14.116087
-345,480,14.238765
144,480,14.359797
63,480,14.48567
-618,480,14.607721
-789,480,14.731141
-768,480,14.849435
-552,480,14.972921
-678,480,15.098746
171,480,15.224398
-774,480,15.344436
-585,480,15.475584
21,480,15.59969
174,480,15.722961
171,480,15.84464
111,480,15.965101
-390,480,16.0806
459,480,16.228601
126,480,16.373284
-747,480,16.512337
372,480,16.647796
-741,480,16.776724
-486,480,16.899285
42,480,17.017634
-462,480,17.152718
-495,480,17.275842
120,480,17.407299
-150,480,17.533577
-720,480,17.659188
-72,480,17.785204
-444,480,17.907898
-705,480,18.034549
-144,480,18.216452
42,480,18.458694
-393,480,18.674831
-357,480,18.841405
-504,480,19.01277
-375,480,19.160422
357,480,19.297691
402,480,19.425231
-441,480,19.550759
-756,480,19.677347
-678,480,19.798616
-456,480,19.927868
168,480,20.047774
-51,480,20.17409
-195,480,20.289765
324,480-153,480,109.636539
-147,480,115.014024
-162,480,119.756553
-114,480,123.660018
-111,480,127.313088
-111,480,130.830948
-117,480,134.327548
-132,480,138.227942
-156,480,141.817169
-165,480,145.950591
-150,480,150.577578
-78,480,154.463368
-138,480,158.386288
-66,480,161.784215
-186,480,165.522936
-147,480,168.764953
-117,480,172.529962
-129,480,176.379168
-159,480,179.829259
-93,480,183.229314
-159,480,186.524588
-201,480,189.911639
-108,480,194.845219
-111,480,199.053313
-84,480,202.41076
-132,480,205.935077
-72,480,209.394307
-138,480,212.719226
-165,480,216.015707
-159,480,219.405782
-117,480,222.764227
-108,480,226.122396
-144,480,229.89642
-93,480,233.568862
-105,480,237.439134
-156,480,240.758198
-138,480,244.028458
-114,480,247.449263
-111,480,250.76002
-39,480,254.018335
-147,480,257.267767
-96,480,261.035764
-93,480,264.511509
-138,480,267.745849
-102,480,271.011088
-111,480,274.261962
-123,480,277.619416
-132,480,280.854464
-105,480,284.261454
-30,480,287.715239
-114,480,291.099687
-87,480,295.058641
-33,480,298.356867
-117,480,301.844356
-87,480,305.23842
-108,480,308.431081
-93,480,311.647217
-81,480,314.871596
-75,480,318.135797
-144,480,321.424103
-108,480,324.586643
-111,480,327.826344
-54,480,331.248563
-132,480,334.391551
-48,480,337.586418
-54,480,340.7697
-63,480,344.179644
-114,480,347.782806
-135,480,351.04385
-129,480,354.963794
-33,480,358.248603
-69,480,361.58859
-147,480,365.27971
